"Timestamp","Station","AirTemperature","AirTemperature","Precipitation","SolarRadiation","SoilTemperature10cm","SoilTemperature10cm","RelativeHumidity","WindSpeed2m","WindSpeed2m","ETo","ETo"
"","","max","min","total","total","max","min","avg","vector","max","grass","alfalfa"
"","","°C","°C","mm","MJ/m²","°C","°C","%","m/s","m/s","mm","mm"
"2010-01-01","Manhattan",-8.3,-16.2,0,10.7,1.5,0.3,82.8,1.9,6.0,0.33,0.47
"2010-01-02","Manhattan",-12.4,-17.2,0,4.8,0.9,0.1,83.1,2.6,5.0,0.30,0.42
"2010-01-03","Manhattan",-10.1,-15.0,0,7.6,0.7,-0.1,80.3,2.9,7.3,0.28,0.39
"2010-01-04","Manhattan",-8.2,-20.4,0,8.4,1.1,1.0,73.2,1.3,2.4,0.35,0.50
"2010-01-05","Manhattan",-6.0,-15.9,0,10.0,1.0,0.6,79.4,1.3,3.7,0.41,0.59
"2010-01-06","Manhattan",-4.9,-12.4,0,5.4,1.0,0.7,82.4,4.7,15.5,0.45,0.67
"2010-01-07","Manhattan",-13.3,-17.3,0,11.5,1.0,1.0,78.3,5.6,11.5,0.34,0.51
"2010-01-08","Manhattan",-13.2,-23.7,0,11.5,1.0,0.8,75.5,3.1,7.0,0.26,0.37
"2010-01-09","Manhattan",-11.5,-22.7,0,10.7,0.8,0.3,82.2,2.0,7.4,0.30,0.43
"2010-01-10","Manhattan",0.6,-22.2,0,13.1,0.7,0.2,76.7,2.6,8.2,0.69,1.06
"2010-01-11","Manhattan",2.1,-10.4,0,11.5,0.7,0.6,80.4,2.0,7.1,0.57,0.81
"2010-01-12","Manhattan",-1.3,-12.3,0,14.6,0.6,0.6,91.3,2.9,7.8,0.37,0.49
"2010-01-13","Manhattan",7.6,-1.1,0,15.0,0.6,0.2,75.4,3.4,11.0,0.97,1.46
"2010-01-14","Manhattan",7.2,-3.2,0,11.9,0.6,0.5,91.2,1.9,6.3,0.74,1.03
"2010-01-15","Manhattan",1.4,-6.3,0,5.0,0.6,0.5,94.3,1.4,3.3,0.35,0.40
"2010-01-16","Manhattan",4.5,-2.4,0,4.0,0.6,0.2,97.3,1.6,4.1,0.36,0.39
"2010-01-17","Manhattan",12.1,-2.3,0,8.4,0.7,0.3,97.4,2.3,4.4,0.68,0.89
"2010-01-18","Manhattan",1.3,-1.3,0.51,5.1,0.7,0.4,98.4,1.3,3.2,0.35,0.36
"2010-01-19","Manhattan",1.9,0.5,0.25,3.4,0.8,0.7,99.4,2.7,6.1,0.31,0.32
"2010-01-20","Manhattan",5.6,1.3,0,3.9,1.3,0.7,93.1,2.5,6.2,0.48,0.59
"2010-01-21","Manhattan",3.4,0.5,0,3.4,2.4,0.2,94.4,2.5,4.8,0.45,0.55
"2010-01-22","Manhattan",7.0,0.1,0,7.1,3.6,1.0,91.3,2.7,6.9,0.74,1.01
"2010-01-23","Manhattan",12.4,3.2,1.78,7.3,6.0,3.4,83.4,4.2,11.0,1.31,1.96
"2010-01-24","Manhattan",3.5,-2.0,0,9.8,4.6,1.5,68.2,4.3,11.1,1.16,1.76
"2010-01-25","Manhattan",0,-3.4,0,9.8,2.0,0.5,61.3,5.7,12.8,1.23,1.91
"2010-01-26","Manhattan",2.3,-6.9,0,13.2,0.9,0.3,67.3,3.5,13.1,1.11,1.69
"2010-01-27","Manhattan",8.2,-5.7,0,11.2,1.0,0.2,70.1,3.1,6.2,1.43,2.19
"2010-01-28","Manhattan",-5.0,-8.1,0,6.2,0.8,-0.1,64.1,3.5,6.2,0.75,1.13
"2010-01-29","Manhattan",-5.2,-8.1,0,5.4,0.3,-0.5,70.4,4.2,10.2,0.75,1.14
"2010-01-30","Manhattan",1.8,-11.2,0,13.2,0,-0.1,74.4,1.5,3.4,0.80,1.12
"2010-01-31","Manhattan",5.4,-10.4,0,13.2,0,-0.2,81.3,2.6,7.5,1.05,1.54
"2010-02-01","Manhattan",1.3,-3.3,0,3.0,0.1,-0.2,91.2,3.1,7.7,0.41,0.51
"2010-02-02","Manhattan",6.0,-5.3,0,13.0,0.1,0,78.3,2.3,7.2,1.22,1.79
"2010-02-03","Manhattan",5.3,-6.8,0,5.5,0.1,0.1,85.3,2.8,7.7,0.69,0.94
"2010-02-04","Manhattan",2.2,0.1,1.78,4.6,0.2,0.1,92.2,2.9,7.4,0.63,0.84
